Title,"paragraph: This employee referral program  is  developed to  help  source  talent, build  diversity,  and  find  the  right  candidates  for  open positions  and  to  reward  our  employees  for  the  right  referrals. This  programme  will  encourage  all  at Techversant to act as talent ambassadors for the Organization.Techversant is an equal opportunity employer with a diverse workforce.All referred candidates  will be given  the  same  consideration  and  will  pass  through  the  established  process  and  procedures  of  the Organization.Please note that it is not the intent for these  guidelines to  describe every situation. Management judgment will / may be necessary in certain situations which are not addressed here,or where special considerations may be required.",query: Is techversant equal opportunity employer ?,Test_Case_Result
,title: Employee Referral Programme,answer: Techversant is an equal opportunity employer with a diverse workforce,Correct
2,,query: Does this employee referral program helps to source talent ?,
,,answer: This,Wrong
3,,query: Will there be any change in described guidelines ?,
,,answer: Please note that it is not the intent for these guidelines to describe every situation,Correct
4,,query: Does the decision change based on Management judgment?,
,,"answer: Management judgment will / may be necessary in certain situations which are not addressed here,or where special considerations may be required.",correct
5,title: Employee Referral Programme,query: Will the employee serving the notice period gets the referral bonus ?,
,"paragraph: All employees who are active at the time of the employee referral bonus payment date - both referrer and the referee will need to on rolls with Techversant and not serving the notice period.All who are directly involved in external recruitment are not eligible The  referral  bonus  programme  is applicable  only  for  permanent  employee  hires  and  fixed  term consultants. If the referral candidate joins as contractors, the referrer will be eligible for referral bonus only upon their successful conversion to regular rolls of the company.To  be  eligible  for  referral  bonus,  the  profile  has  to  be  sent  to  the  Talent  Acquisition  team  by  the employee at the mentioned email id or portal as applicable.  Any application processed without the involvement of the Talent Acquisition team will not be eligible for a referral bonus.In the event a referral is received through multiple referrers, the first referrer becomes eligible for thereferral  bonus.  The  Talent  Acquisition  Team  shall  intimate  the  other  referrers  before  initiating  the recruitment process.Referral bonus will not be applicable for fresher recruitment.Referral  bonus  will  not be  applicable  for  positions  under  the  Enabling  /  Support  Functions,unless there is an exception as approved by the Management.",answer: All,Wrong
6,,query: Are the external recruitment eligible for referral bonus ?,
,,answer: All who are directly involved in external recruitment are not eligible,correct
7,,query: Are the referral bonus programme is applicable only for permanent employee ?,
,,answer: The referral bonus programme is applicable only for permanent employee hires and fixed term consultants,correct
8,,"query: What if the candidate joins as contractors, will the referrer be eligible for referral bonus ?",
,,answer: If the referral candidate joins as contractors,partial output
9,,query: To which team profile  has  to  be  sent ?,
,,answer: the profile has to be sent to the Talent Acquisition team by the employee at the mentioned email id or portal as applicable,correct(partial output)
10,,What if the application processed without the involvement Talent  Acquisition  team?,
,,answer: The Talent Acquisition Team shall intimate the other referrers before initiating the recruitment process.,wrong
11,,"query: If there are multiple referrers, who will be eligible for referral bonus ?",
,,answer: The Talent Acquisition Team shall intimate the other referrers before initiating the recruitment process.,correct
12,,"query: Will the referral bonus be paid for Enabling ,Support position ?",
